Standard Designation Number/Date,Title of Standard,Specialty Task Group,Date of Recogntion,Standard Developing Organization,Recognition Number
Z80.12-2007 (R2017),American National Standard for Ophthalmics - Multifocal Intraocular Lenses,Ophthalmic,09/17/2018,ANSI," "10-56
Z80.13-2007 (R2017),American National Standard for Ophthalmics - Phakic Intraocular Lenses,Ophthalmic,09/17/2018,ANSI," "10-57
11981 Third edition 2017-11,Ophthalmic optics - Contact lenses and contact lens care products - Determination of physical compatibility of contact lens care products with contact lenses,Ophthalmic,09/17/2018,ISO," "10-111
11986 Third edition 2017-11,Ophthalmic optics - Contact lenses and contact lens care products - Determination of preservative uptake and release,Ophthalmic,09/17/2018,ISO," "10-112
Z80.11-2012 (R2017),American National Standard for Ophthalmics - Laser Systems for Corneal Reshaping,Ophthalmic,09/17/2018,ANSI," "10-84
Z80.30-2018,American National Standard for Ophthalmics - Toric Intraocular Lenses,Ophthalmic,09/17/2018,ANSI," "10-113
10271 First edition 2001-06,Dentistry - Corrosion test methods for metallic materials,Dental/ENT,09/17/2018,ANSI ADA," "4-243
8325 Second edition 2004-09-15,Dentistry - Test methods for rotary instruments,Dental/ENT,09/17/2018,ISO," "4-244
20749 First edition 2017-03,Dentistry - Pre-capsulated dental amalgam,Dental/ENT,09/17/2018,ISO," "4-246
28319 Second edition 2018-04,Dentistry - Laser welding and filler materials,Dental/ENT,09/17/2018,ISO," "4-247
60601-2-43 - Ed. 2.0 2010-03,Medical electrical equipment - Part 2-43: Particular requirements for the safety and essential performance of X-ray equipment for interventional procedures,Radiology,09/17/2018,IEC," "12-202
TIR66: 2017/(R)2020,Guidance for the creation of physiologic data and waveform databases to demonstrate reasonable assurance of the safety and effectiveness of alarm system algorithms,General I (QS/RM),09/17/2018,AAMI," "5-118
F1984-99 (Reapproved 2018),Standard Practice for Testing for Whole Complement Activation in Serum by Solid Materials,Biocompatibility,01/14/2019,ASTM," "2-141
E1262-88 (Reapproved 2018),Standard Guide for Performance of the Chinese Hamster Ovary Cell/Hypoxanthine Guanine Phosphoribosyl Transferase Gene Mutation Assay,Biocompatibility,01/14/2019,ASTM," "2-136
F1439-03 (Reapproved 2018),Standard Guide for Performance of Lifetime Bioassay for the Tumorigenic Potential of Implant Materials,Biocompatibility,01/14/2019,ASTM," "2-145
BP22:1994 (R2016),Blood pressure transducers,Cardiovascular,01/14/2019,ANSI AAMI," "3-44
EC12:2000/(R)2015,Disposable ECG electrodes,Cardiovascular,01/14/2019,ANSI AAMI," "3-52
F2081-06 (Reapproved 2017),Standard Guide for Characterization and Presentation of the Dimensional Attributes of Vascular Stents,Cardiovascular,01/14/2019,ASTM," "3-66
F2079-09 (Reapproved 2017),Standard Test Method for Measuring Intrinsic Elastic Recoil of Balloon-Expandable Stents,Cardiovascular,01/14/2019,ASTM," "3-79
F2394-07 (Reapproved 2017),Standard Guide for Measuring Securement of Balloon Expandable Vascular Stent Mounted on Delivery System,Cardiovascular,01/14/2019,ASTM," "3-86
QMS24 3rd Edition September 2016 Replaces GP27-A2 and GP29-A2,Using Proficiency Testing to Improve the Clinical Laboratory; Approved Guideline - Second Edition,InVitro Diagnostics,01/14/2019,CLSI," "7-139
M22-A3 Vol 24 No. 19 Replaces M22-A2 Vol. 16 No. 16,Quality Control for Commercially Prepared Microbiological Culture Media; Approved Standard - Third Edition,InVitro Diagnostics,01/14/2019,CLSI," "7-178
MM05-A2 Vol. 32 No. 6 Replaces MM05-A Vol. 23 No. 17,Nucleic Acid Amplification Assays for Molecular Hematopathology; Approved Guideline - Second Edition,InVitro Diagnostics,01/14/2019,CLSI," "7-232
M45 3rd Edition,Methods for Antimicrobial Dilution and Disk Susceptibility Testing of Infrequently Isolated or Fastidious Bacteria.,InVitro Diagnostics,01/14/2019,CLSI," "7-262
MM23-1st Edition,Molecular Diagnostic Methods for Solid Tumors (Nonhematological Neoplasms),InVitro Diagnostics,01/14/2019,CLSI," "7-269
NS4:2013(R)2017,Transcutaneous Electrical Nerve Stimulators,Neurology,01/14/2019,ANSI AAMI," "17-14
7176-6 Third edition 2018-06 ,Wheelchairs - Part 6:  Determination of maximum speed acceleration and deceleration of electric wheelchairs,Physical Medicine,01/14/2019,ISO," "16-204
25539-1: 2017,Cardiovascular implants - Endovascular devices - Part 1: Endovascular prostheses,Cardiovascular,01/14/2019,ANSI AAMI ISO," "3-157
M11 9th Edition,Methods for Antimicrobial Susceptibility Testing of Anaerobic Bacteria; Approved Standard-Eighth Edition.,InVitro Diagnostics,01/14/2019,CLSI," "7-286
M48-A 2nd Edition,Laboratory Detection and Identification of Mycobacteria,InVitro Diagnostics,01/14/2019,CLSI," "7-285
23409 First edition 2011-02-15,Male Condoms - Requirements and test methods for condoms made from synthetic materials,ObGyn/Gastroenterology/Urology,01/14/2019,ISO," "9-68
4074 Third edition 2015-10-15,Natural latex rubber condoms - Requirements and test methods,ObGyn/Gastroenterology/Urology,01/14/2019,ISO," "9-111
25841 Third edition 2017-08 ,Female condoms -- Requirements and test methods,ObGyn/Gastroenterology/Urology,01/14/2019,ISO," "9-122
22442-3 First edition 2007-12-15,Medical devices utilizing animal tissues and their derivatives - Part 3:  Validation of the elimination and/or inactivation of viruses and transmissible spongiform encephalopathy (TSE) Agents. ,Tissue Engineering,01/14/2019,ISO," "15-47
F3224-17,Standard Test Method for Evaluating Growth of Engineered Cartilage Tissue using Magnetic Resonance Imaging,Tissue Engineering,01/14/2019,ASTM," "15-56
F754-08 (Reapproved 2015),Standard Specification for Implantable Polytetrafluoroethylene (PTFE) Sheet Tube and Rod Shapes Fabricated from Granular Molding Powders,Materials,01/14/2019,ASTM," "8-179
D1505-18,Standard Test Method for Density of Plastics by the Density-Gradient Technique,Materials,01/14/2019,ASTM," "8-482
F2063-12,Standard Specification for Wrought Nickel-Titanium Shape Memory Alloys for Medical Devices and Surgical Implants,Materials,08/06/2013,ASTM," "8-335
F1314-13,Standard Specification for Wrought Nitrogen Strengthened 22 Chromium - 13  Nickel - 5 Manganese - 2.5 Molybdenum Stainless Steel Alloy Bar and Wire for Surgical Implants (UNS S20910),Materials,01/30/2014,ASTM," "8-345
F601-18,Standard Practice for Fluorescent Penetrant Inspection of Metallic Surgical Implants,Materials,01/14/2019,ASTM," "8-483
F2066-13,Standard Specification for Wrought Titanium-15 Molybdenum Alloy for Surgical Implant Applications (UNS R58150),Materials,07/09/2014,ASTM," "8-375
F3260-18,Standard Test Method for Determining the Flexural Stiffness of Medical Textiles,Materials,01/14/2019,ASTM," "8-485
F3268-18,Standard Guide for in vitro Degradation Testing of Absorbable Metals,Materials,01/14/2019,ASTM," "8-486
52910-18,Additive manufacturing - Design - Requirements guidelines and recommendations,Materials,01/14/2019,ASTM ISO," "8-487
F3301-18a,Standard for Additive Manufacturing - Post Processing Methods - Standard Specification for Thermal Post-Processing Metal Parts Made Via Powder Bed Fusion,Materials,01/14/2019,ASTM," "8-488
F3303-18,Standard for Additive Manufacturing - Process Characteristics and Performance: Practice for Metal Powder Bed Fusion Process to Meet Critical Applications,Materials,01/14/2019,ASTM," "8-490
F3302-18,Standard for Additive Manufacturing - Finished Part Properties - Standard Specification for Titanium Alloys via Powder Bed Fusion,Materials,01/14/2019,ASTM," "8-489
F732-17,Standard Test Method for Wear Testing of Polymeric Materials Used in Total Joint Prostheses,Orthopedic,01/14/2019,ASTM," "11-342
F2346-18,Standard Test Methods for Static and Dynamic Characterization of Spinal Artificial Discs,Orthopedic,01/14/2019,ASTM," "11-343
F1714-96 (Reapproved 2018),Standard Guide for Gravimetric Wear Assessment of Prosthetic Hip Designs in Simulator Devices,Orthopedic,01/14/2019,ASTM," "11-272
F2580-18,Standard Practice for Evaluation of Modular Connection of Proximally Fixed Femoral Hip Prosthesis,Orthopedic,01/14/2019,ASTM," "11-344
F1717-18,Standard Test Methods for Spinal Implant Constructs in a Vertebrectomy Model,Orthopedic,01/14/2019,ASTM," "11-345
F2706-18,Standard Test Methods for Occipital-Cervical and Occipital-Cervical-Thoracic Spinal Implant Constructs in a Vertebrectomy Model,Orthopedic,01/14/2019,ASTM," "11-346
F2077-18,Test Methods for Intervertebral Body Fusion Devices,Orthopedic,01/14/2019,ASTM," "11-347
19227 First edition 2018-03,Implants for surgery - Cleanliness of orthopedic implants - General requirements,Orthopedic,01/14/2019,ISO," "11-348
8827 First edition 1988-10-15,Implants for surgery - Staples with parallel legs for orthopaedic use - General requirements,Orthopedic,01/14/2019,ISO," "11-184
18835 First Edition 2015-04-01 ,Inhalational Anaesthesia Systems - Draw-over Anaesthetic Systems ,Anesthesiology,01/14/2019,ISO," "1-114
5366 First edition 2016-10-01 ,Anaesthetic and respiratory equipment - Tracheostomy tubes and connectors,Anesthesiology,01/14/2019,ISO," "1-117
5361 Third edition 2016-09-01,Anaesthetic and respiratory equipment - Tracheal tubes and connectors,Anesthesiology,12/23/2016,ISO," "1-118
18190 First edition 2016-11-01,Anaesthetic and respiratory equipment - General requirements for airways and related equipment,Anesthesiology,01/14/2019,ISO," "1-120
D7866-14,Standard Specification for Radiation Attenuating Protective Gloves,General Plastic Surgery/General Hospital,01/14/2019,ASTM," "6-338
8536-6 Third edition 2016-12-01,Infusion equipment for medical use - Part 6:  Freeze drying closures for infusion bottles,General Plastic Surgery/General Hospital,01/14/2019,ISO," "6-410
D6499-18,Standard Test Method for Immunological Measurement of Antigenic Protein in Hevea Natural Rubber (HNR) and its Products,General Plastic Surgery/General Hospital,01/14/2019,ASTM," "6-411
ST55:2016,Table-top steam sterilizers,Sterility,01/14/2019,ANSI AAMI," "14-518
ST77:2013/(R)2018,Containment devices for reusable medical device sterilization,Sterility,01/14/2019,ANSI AAMI," "14-396
5910 First edition 2018-06,Cardiovascular implants and extracorporeal systems - Cardiac valve repair devices,Cardiovascular,01/14/2019,ISO," "3-159
E2535-07 (Reapproved 2018),Standard Guide for Handling Unbound Engineered Nanoscale Particles in Occupational Settings,Nanotechnology,01/14/2019,ASTM," "18-2
E2859-11 (Reapproved 2017),Standard Guide for Size Measurement of Nanoparticles Using Atomic Force Microscopy,Nanotechnology,01/14/2019,ASTM," "18-5
E2865-12 (Reapproved 2018),Standard Guide for Measurement of Electrophoretic Mobility and Zeta Potential of Nanosized Biological Materials,Nanotechnology,01/14/2019,ASTM," "18-6
E2834-12 (Reapproved 2018),Standard Guide for Measurement of Particle Size Distribution of Nanomaterials in Suspension by Nanoparticle Tracking Analysis (NTA),Nanotechnology,01/14/2019,ASTM," "18-7
E2578-07 (Reapproved 2018),Standard Practice for Calculation of Mean Sizes/Diameters and Standard Deviations of Particle Size Distributions,Nanotechnology,01/14/2019,ASTM," "18-8
/TR 13121 First edition 2011-05-15,Nanotechnologies - Nanomaterial risk evaluation,Nanotechnology,01/14/2019,ISO," "18-11
MS 5-2018,Determination of Slice Thickness in Diagnostic Magnetic Resonance Imaging,Radiology,01/14/2019,NEMA," "12-322
60812 Edition 3.0 2018-08,Analysis techniques for system reliability - Procedure for failure mode and effects analysis (FMEA),General I (QS/RM),01/14/2019,IEC," "5-120
61010-1 Edition 3.1 2017-01,Safety requirements for electrical equipment for measurement control and laboratory use - Part 1: General requirements,General II (ES/EMC),01/14/2019,IEC," "19-34
/TS 17200 First edition 2013-06-01,Nanotechnology - Nanoparticles in powder form - Characteristics and measurements,Nanotechnology,01/14/2019,ISO," "18-12
11990 Third edition 2018-08,Lasers and laser-related equipment - Determination of laser resistance of tracheal tube shaft and tracheal tube cuffs,Radiology,01/14/2019,ISO," "12-323
13694 Third edition 2018-11,Optics and Photonics - Lasers and laser-related equipment - Test methods for laser beam power (energy) density distribution,Radiology,01/14/2019,ISO," "12-324
V&V 40-2018,Assessing Credibility of Computational Modeling Through Verification and Validation: Application to Medical Devices,General I (QS/RM),01/14/2019,ASME," "5-122
80601-2-13 First edition 2011-08-11,Medical electrical equipment -- Part 2-13: Particular requirements for basic safety and essential performance of an anaesthetic workstation [Including: Amendment 1 (2015) and Amendment 2 (2018)],Anesthesiology,01/14/2019,ISO," "1-141
10993-1 Fifth edition 2018-08,Biological evaluation of medical devices - Part 1: Evaluation and testing within a risk management process,Biocompatibility,01/14/2019,ISO," "2-258
80369-1 Second edition 2018-11,Small-bore connectors for liquids and gases in healthcare applications - Part 1: General requirements,General I (QS/RM),01/14/2019,ISO," "5-121
S3.4-2007 (Reaffirmed 2017),American National Standard Procedure for the Computation of Loudness of Steady Sounds,Dental/ENT,01/14/2019,ANSI," "4-162
RP-27.2-00/R17,Recommended Practice for Photobiological Safety for Lamps and Lamp Systems - Measurement Techniques,Radiology,01/14/2019,ANSI IES," "12-102
RP-27.3-17,Recommended Practice for Photobiological Safety for Lamps - Risk Group Classification and Labeling,Radiology,01/14/2019,ANSI IES," "12-321
10477 Third edition 2018-06,Dentistry - Polymer-based crown and veneering materials,Dental/ENT,01/14/2019,ISO," "4-248
Standard No. 19-2018,Elastometric Impression Materials,Dental/ENT,01/14/2019,ANSI ADA," "4-249
S3.5-1997 (Reaffirmed 2017),American National Standard Methods for Calculation of the Speech Intelligibility Index,Dental/ENT,01/14/2019,ANSI," "4-163
F2942-13 ,Standard Guide for the In Vitro Axial Bending and Rotational Durability Test of Vascular Stents,Cardiovascular,01/14/2019,ASTM," "3-138
